date,holding,strategy_equity,buy_hold_levered
2018-01-02,QLD,100000.0,100000.0
2018-01-03,QLD,101950.69945164294,101950.69945164294
2018-01-04,QLD,102319.75015569011,102319.75015569013
2018-01-05,QLD,104349.53908382708,104349.5390838271
2018-01-08,QLD,105127.1902581072,105127.19025810722
2018-01-09,QLD,105219.45293411899,105219.45293411904
2018-01-10,QLD,104639.51036725771,104639.51036725774
2018-01-11,QLD,106089.3567285334,106089.35672853343
2018-01-12,QLD,107591.92605551262,107591.92605551267
2018-01-16,QLD,106985.62703373833,106985.62703373838
2018-01-17,QLD,109292.2039899107,109292.20398991073
2018-01-18,QLD,109331.74370021898,109331.74370021901
2018-01-19,QLD,110030.31545388256,110030.3154538826
2018-01-22,QLD,112363.24886496794,112363.24886496796
2018-01-23,QLD,114195.32918568607,114195.32918568612
2018-01-24,QLD,112798.20579011389,112798.20579011392
2018-01-25,QLD,112653.22014839857,112653.2201483986
2018-01-26,QLD,115948.33008578765,115948.33008578769
2018-01-29,QLD,114907.07413886739,114907.07413886745
2018-01-30,QLD,113061.810562754,113061.81056275406
2018-01-31,QLD,113892.18470273766,113892.1847027377
2018-02-01,QLD,112007.381416316,112007.38141631606
2018-02-02,QQQ,109773.36500535761,107473.30692458786
2018-02-05,QQQ,105445.37922535469,99156.4526604986
2018-02-06,QQQ,108239.56345273086,104204.55344211179
2018-02-07,QQQ,106839.14391168639,101542.10903728749
2018-02-08,QQQ,102331.10055654244,93080.26913148291
2018-02-09,QQQ,104098.31045381933,96138.13075114488
2018-02-12,QQQ,105945.5312419317,99644.12249547058
2018-02-13,QQQ,106492.36899768632,100540.3928006755
2018-02-14,QQQ,108486.30185804416,104389.07879413538
2018-02-15,QQQ,110500.25016063439,108132.32891206568
2018-02-16,QQQ,110006.77335000774,107328.32128287252
2018-02-20,QQQ,110226.83128275708,107591.92605551267
2018-02-21,CASH,110226.83128275708,106959.27057882535
2018-02-22,CASH,110226.83128275708,107077.88970975016
2018-02-23,CASH,110226.83128275708,111308.80966265246
2018-02-26,CASH,110226.83128275708,114234.86889599437
2018-02-27,CASH,110226.83128275708,111387.89913914648
2018-02-28,CASH,110226.83128275708,109990.76568769684
2018-03-01,CASH,110226.83128275708,106511.13039828415
2018-03-02,CASH,110226.83128275708,108369.57722979279
2018-03-05,CASH,110226.83128275708,110715.69389627343
2018-03-06,CASH,110226.83128275708,111638.32065639137
2018-03-07,CASH,110226.83128275708,112139.1838026361
2018-03-08,CASH,110226.83128275708,113391.32155649297
2018-03-09,CASH,110226.83128275708,117701.33098588929
2018-03-12,CASH,110226.83128275708,118782.12664311781
2018-03-13,CASH,110226.83128275708,115856.0674097759
2018-03-14,CASH,110226.83128275708,115763.8047337641
2018-03-15,CASH,110226.83128275708,115447.46693954295
2018-03-16,CASH,110226.83128275708,114893.8908834722
2018-03-19,CASH,110226.83128275708,110017.13219848735
2018-03-20,CASH,110226.83128275708,110636.6144756569
2018-03-21,CASH,110226.83128275708,109608.54178413188
2018-03-22,CASH,110226.83128275708,104151.83047640826
2018-03-23,CASH,110226.83128275708,98616.04980394559
2018-03-26,CASH,110226.83128275708,106036.63376282992
2018-03-27,CASH,110226.83128275708,99037.82347369629
2018-03-28,CASH,110226.83128275708,96876.23215923924
2018-03-29,CASH,110226.83128275708,100434.94686926846
2018-04-02,CASH,110226.83128275708,94661.91787907867
2018-04-03,CASH,110226.83128275708,96691.70680721565
2018-04-04,CASH,110226.83128275708,99195.99237080687
2018-04-05,CASH,110226.83128275708,100804.00762919313
2018-04-06,CASH,110226.83128275708,95940.42214372604
2018-04-09,CASH,110226.83128275708,97060.75751126283
2018-04-10,CASH,110226.83128275708,101331.2171744734
2018-04-11,CASH,110226.83128275708,100276.78802803539
2018-04-12,CASH,110226.83128275708,102570.18172881249
2018-04-13,CASH,110226.83128275708,101608.0052025088
2018-04-16,CASH,110226.83128275708,103044.67836426671
2018-04-17,CASH,110226.83128275708,107433.7672142796
2018-04-18,CASH,110226.83128275708,107934.62030464683
2018-04-19,CASH,110226.83128275708,106102.53998392868
2018-04-20,CASH,110226.83128275708,102649.26114942903
2018-04-23,CASH,110226.83128275708,102095.68509335828
2018-04-24,CASH,110226.83128275708,97759.31920904892
2018-04-25,CASH,110226.83128275708,98062.47374787481
2018-04-26,CASH,110226.83128275708,102016.60567274173
2018-04-27,CASH,110226.83128275708,102187.94776937006
2018-04-30,CASH,110226.83128275708,100698.56169778608
2018-05-01,CASH,110226.83128275708,102912.87597794665
2018-05-02,CASH,110226.83128275708,101805.71380992762
2018-05-03,CASH,110226.83128275708,101739.81764470635
2018-05-04,CASH,110226.83128275708,105575.32038277095
2018-05-07,CASH,110226.83128275708,107236.05860686074
2018-05-08,CASH,110226.83128275708,106998.81028913363
2018-05-09,CASH,110226.83128275708,109476.72934193433
2018-05-10,CASH,110226.83128275708,111691.0436220949
2018-05-11,CASH,110226.83128275708,111480.1618151583
2018-05-14,CASH,110226.83128275708,111809.6728088972
2018-05-15,CASH,110226.83128275708,109344.92695561427
2018-05-16,CASH,110226.83128275708,110807.95657228521
2018-05-17,CASH,110226.83128275708,109872.14655677202
2018-05-18,CASH,110226.83128275708,108738.62793383998
2018-05-21,CASH,110226.83128275708,110003.9489430921
2018-05-22,CASH,110226.83128275708,109687.62120474842
2018-05-23,CASH,110226.83128275708,111519.70152546655
2018-05-24,CASH,110226.83128275708,111414.2555940595
2018-05-25,CASH,110226.83128275708,111651.50391178663
2018-05-29,CASH,110226.83128275708,110649.78767517464
2018-05-30,QLD,111763.05565942936,112191.90676833963
2018-05-31,QLD,111618.62422215726,112046.92112662431
2018-06-01,QLD,115124.34725243985,115566.09612634525
2018-06-04,QLD,117093.85592348929,117543.16208877871
2018-06-05,QLD,117855.40168048046,118307.63000766358
2018-06-06,QLD,119260.31746513146,119717.93665863102
2018-06-07,QLD,117395.8516607234,117846.31662760461
2018-06-08,QLD,117277.67593139209,117727.68744080231
2018-06-11,QLD,117907.92311380112,118360.35297336712
2018-06-12,QLD,119155.27459849011,119612.49072722398
2018-06-13,QLD,119050.23173184876,119507.04479581691
2018-06-14,QLD,121531.81185597592,121998.14710401287
2018-06-15,QLD,120678.36611247246,121141.42656499369
2018-06-18,QLD,120533.93467520038,120996.44092327837
2018-06-19,QLD,119798.64462615,120258.32945930652
2018-06-20,QLD,121505.55614803515,121971.79064909984
2018-06-21,QLD,119352.2274690829,119810.1993346428
2018-06-22,QQQ,119087.31770818395,119045.73141575794
2018-06-25,QQQ,116404.24481861903,113865.81819194718
2018-06-26,QQQ,116879.73291248031,114827.99471825092
2018-06-27,QQQ,115290.26398244945,111572.42449117008
2018-06-28,QQQ,116281.98355880589,113602.21341930708
2018-06-29,QQQ,116594.43591030868,113958.08086795898
2018-07-02,QQQ,117375.58751833996,115671.54205775232
2018-07-03,QQQ,116017.07379790695,112969.54788674225
2018-07-05,QQQ,117457.09502488207,115776.97793328187
2018-07-06,QQQ,119284.29763720641,119269.79647808979
2018-07-09,QQQ,120357.52472010495,121484.11075825036
2018-07-10,QQQ,120445.83142861698,121668.63611027396
2018-07-11,QLD,119245.42034312121,120456.03806672538
2018-07-12,QLD,123159.8121082872,124410.1699915923
2018-07-13,QLD,123407.72677228788,124660.60156471466
2018-07-16,QLD,122872.75511940493,124120.19870816164
2018-07-17,QLD,124412.41627856274,125675.49100084438
2018-07-18,QLD,123864.40382059464,125121.91494477363
2018-07-19,QLD,122650.94197520067,123896.13364582979
2018-07-20,QLD,122494.36272086133,123737.96474871921
2018-07-23,QLD,123264.19827784675,124515.61592299934
2018-07-24,QLD,124334.1316287996,125596.41158022785
2018-07-25,QLD,127739.65326087906,129036.50715933226
2018-07-26,QLD,124034.02388001916,125293.25704140196
2018-07-27,QLD,120615.46144285456,121839.98826277979
2018-07-30,QQQ,118911.01287859632,118347.16971797186
2018-07-31,QQQ,119820.9570350511,119704.75340323577
2018-08-01,QQQ,120275.9291132785,120970.07441248788
2018-08-02,QQQ,121912.47742864418,124265.18434987697
2018-08-03,QQQ,122285.96506351874,124976.9293030583
2018-08-06,QQQ,123005.77194434729,126532.22159574105
2018-08-07,QQQ,123453.95710619674,127283.50625923066
2018-08-08,QLD,123671.28077528061,127507.57132156251
2018-08-09,QLD,123569.01712433617,127402.13544603299
2018-08-10,QLD,121728.13486073486,125504.14890421607
2018-08-13,QLD,121510.811191651,125280.0838418842
2018-08-14,QQQ,122272.26832494822,126795.82636838118
2018-08-15,QQQ,120776.29373412498,123751.14800411447
2018-08-16,QQQ,121173.8801627686,124436.5365023828
2018-08-17,QQQ,121200.83012085884,124502.43266760408
2018-08-20,QQQ,121093.00972385991,124317.90731558048
2018-08-21,QQQ,121537.7611497412,125174.63791047713
2018-08-22,QQQ,122009.4625337127,126097.2646705951
2018-08-23,QQQ,121834.26210032872,125728.21396654792
2018-08-24,QQQ,122966.34542186036,128034.79092272028
2018-08-27,QQQ,124219.72926059553,130618.15590692802
2018-08-28,QQQ,124401.67489524133,131026.75637716097
2018-08-29,QQQ,125837.0043686223,134058.25148603244
2018-08-30,QQQ,125614.62865568166,133491.4921745664
2018-08-31,QQQ,125776.34896886103,133807.81991291005
2018-09-04,QQQ,125237.26754850443,132727.02425568155
2018-09-05,QQQ,123619.99244047765,129286.92867657714
2018-09-06,QQQ,122514.85907703624,126953.99526549176
2018-09-07,QQQ,122043.15769306471,126163.17089169387
2018-09-10,QQQ,122454.21395959397,126743.11345855516
2018-09-11,QQQ,123397.616727537,128667.45645528508
2018-09-12,QQQ,123033.7357405644,127982.06795701677
2018-09-13,QQQ,124347.76469674186,130486.35352060795
2018-09-14,QQQ,123983.88370976926,129800.97507821713
2018-09-17,QQQ,122198.1430873013,126136.80438090336
2018-09-18,QQQ,123208.93617394842,128153.42010952257
2018-09-19,QQQ,123114.59589715411,127995.25121241203
2018-09-20,QQQ,124475.80013288822,130657.6956172363
2018-09-21,QQQ,123795.20315618068,129326.4784427629
2018-09-24,QQQ,123916.4933910652,129959.13391945019
2018-09-25,QQQ,124084.95890550638,130367.73438968314
2018-09-26,QQQ,124172.56426335787,130459.99706569496
2018-09-27,QQQ,125223.78742829981,132674.31134585553
2018-09-28,QQQ,125196.82718789058,132700.6678007685
2018-10-01,QQQ,125452.89806018324,133135.6247259145
2018-10-02,QQQ,125169.87722980035,132516.14244874494
2018-10-03,QQQ,125304.64758488949,132898.37640818738
2018-10-04,QQQ,122898.96538547525,127744.81963928964
2018-10-05,QQQ,121396.24559339021,124686.95801962765
2018-10-08,QQQ,120655.00349924038,123078.94276124139
2018-10-09,CASH,120655.00349924038,123764.33125950972
2018-10-10,CASH,120655.00349924038,112982.7311421375
2018-10-11,CASH,120655.00349924038,110148.93458480739
2018-10-12,CASH,120655.00349924038,116264.65782413135
2018-10-15,CASH,120655.00349924038,113312.24213587643
2018-10-16,CASH,120655.00349924038,119902.46201065459
2018-10-17,CASH,120655.00349924038,120047.44765236993
2018-10-18,CASH,120655.00349924038,114683.00907653559
2018-10-19,CASH,120655.00349924038,114248.05215138962
2018-10-22,CASH,120655.00349924038,115447.46693954295
2018-10-23,CASH,120655.00349924038,114696.18227605334
2018-10-24,CASH,120655.00349924038,104046.3946008787
2018-10-25,CASH,120655.00349924038,111071.56134492536
2018-10-26,CASH,120655.00349924038,105746.67253527677
2018-10-29,CASH,120655.00349924038,101673.91142360755
2018-10-30,CASH,120655.00349924038,104349.5390838271
2018-10-31,CASH,120655.00349924038,109147.21834819541
2018-11-01,CASH,120655.00349924038,112297.3426438692
2018-11-02,CASH,120655.00349924038,108909.97003046829
2018-11-05,CASH,120655.00349924038,108158.68536697868
2018-11-06,CASH,120655.00349924038,109806.24033567324
2018-11-07,CASH,120655.00349924038,116594.16881787026
2018-11-08,CASH,120655.00349924038,115170.67891150758
2018-11-09,CASH,120655.00349924038,111256.09675282644
2018-11-12,CASH,120655.00349924038,104679.05007756602
2018-11-13,CASH,120655.00349924038,104718.58978787427
2018-11-14,CASH,120655.00349924038,102965.59894365018
2018-11-15,CASH,120655.00349924038,106629.75958508645
2018-11-16,CASH,120655.00349924038,105918.01463190511
2018-11-19,CASH,120655.00349924038,98945.56079768449
2018-11-20,CASH,120655.00349924038,95479.10876366707
2018-11-21,CASH,120655.00349924038,96836.69244893097
2018-11-23,CASH,120655.00349924038,95426.38579796354
2018-11-26,CASH,120655.00349924038,99828.64784749417
2018-11-27,CASH,120655.00349924038,100540.3928006755
2018-11-28,CASH,120655.00349924038,106867.00790281357
