,QLD,Macro_State,Holdings,Strategy_Equity,QLD_Equity
1/2/2018,9.351764679,Invest,QLD,100000,100000
1/3/2018,9.534191132,Invest,QLD,101950.7169,101950.7169
1/4/2018,9.568705559,Invest,QLD,102319.7855,102319.7855
1/5/2018,9.758525848,Invest,QLD,104349.5659,104349.5659
1/8/2018,9.831249237,Invest,QLD,105127.2094,105127.2094
1/9/2018,9.839880943,Invest,QLD,105219.5097,105219.5097
1/10/2018,9.785643578,Invest,QLD,104639.5404,104639.5404
1/11/2018,9.921228409,Invest,QLD,106089.3719,106089.3719
1/12/2018,10.0617466,Invest,QLD,107591.9567,107591.9567
1/16/2018,10.00504589,Invest,QLD,106985.6464,106985.6464
1/17/2018,10.22075272,Invest,QLD,109292.236,109292.236
1/18/2018,10.22444916,Invest,QLD,109331.7626,109331.7626
1/19/2018,10.28977871,Invest,QLD,110030.3425,110030.3425
1/22/2018,10.50794983,Invest,QLD,112363.2832,112363.2832
1/23/2018,10.67928123,Invest,QLD,114195.3588,114195.3588
1/24/2018,10.54862499,Invest,QLD,112798.2296,112798.2296
1/25/2018,10.53506565,Invest,QLD,112653.2372,112653.2372
1/26/2018,10.8432169,Invest,QLD,115948.3506,115948.3506
1/29/2018,10.74584103,Invest,QLD,114907.094,114907.094
1/30/2018,10.57327747,Invest,QLD,113061.8427,113061.8427
1/31/2018,10.6509304,Invest,QLD,113892.1986,113892.1986
2/1/2018,10.4746685,Invest,QLD,112007.4003,112007.4003
2/2/2018,10.0506525,Invest,QLD,107473.3256,107473.3256
2/5/2018,9.272882462,Invest,QLD,99156.49912,99156.49912
2/6/2018,9.744967461,Invest,QLD,104204.5838,104204.5838
2/7/2018,9.495981216,Invest,QLD,101542.1318,101542.1318
2/8/2018,8.704650879,Invest,QLD,93080.30279,93080.30279
2/9/2018,8.990615845,Invest,QLD,96138.17449,96138.17449
2/12/2018,9.31848526,Invest,QLD,99644.13755,99644.13755
2/13/2018,9.402301788,Invest,QLD,100540.4018,100540.4018
2/14/2018,9.762224197,Invest,QLD,104389.113,104389.113
2/15/2018,10.11228371,Invest,QLD,108132.3585,108132.3585
2/16/2018,10.03709412,Invest,QLD,107328.3435,107328.3435
2/20/2018,10.0617466,Blackout period,CASH,107338.969,107591.9567
2/21/2018,10.00258064,Blackout period,CASH,107349.5956,106959.285
2/22/2018,10.01367474,Blackout period,CASH,107360.2232,107077.9161
2/23/2018,10.4093399,Blackout period,CASH,107370.8519,111308.8306
2/26/2018,10.68297672,Blackout period,CASH,107381.4816,114234.8753
2/27/2018,10.41673756,Blackout period,CASH,107392.1123,111387.935
2/28/2018,10.28607845,Blackout period,CASH,107402.7442,109990.775
3/1/2018,9.960673332,Blackout period,CASH,107413.377,106511.1631
3/2/2018,10.13446903,Blackout period,CASH,107424.011,108369.5899
3/5/2018,10.35387516,Blackout period,CASH,107434.6459,110715.7367
3/6/2018,10.44015694,Blackout period,CASH,107445.282,111638.3624
3/7/2018,10.4869957,Blackout period,CASH,107455.919,112139.2171
3/8/2018,10.6040926,Blackout period,CASH,107466.5572,113391.3541
3/9/2018,11.00715446,Blackout period,CASH,107477.1964,117701.3627
3/12/2018,11.10822582,Blackout period,CASH,107487.8366,118782.1358
3/13/2018,10.834589,Blackout period,CASH,107498.4779,115856.091
3/14/2018,10.82596111,Blackout period,CASH,107509.1203,115763.8316
3/15/2018,10.796381,Blackout period,CASH,107519.7637,115447.5264
3/16/2018,10.74460983,Blackout period,CASH,107530.4081,114893.9286
3/19/2018,10.28854656,Blackout period,CASH,107541.0536,110017.167
3/20/2018,10.3464756,Blackout period,CASH,107551.7002,110636.612
3/21/2018,10.25033569,Blackout period,CASH,107562.3478,109608.5717
3/22/2018,9.740036011,Blackout period,CASH,107572.9965,104151.851
3/23/2018,9.222341537,Blackout period,CASH,107583.6462,98616.05647
3/26/2018,9.916297913,Blackout period,CASH,107594.297,106036.6493
3/27/2018,9.261785507,Blackout period,CASH,107604.9488,99037.83751
3/28/2018,9.059638977,Blackout period,CASH,107615.6017,96876.2505
3/29/2018,9.392440796,Blackout period,CASH,107626.2557,100434.9566
4/2/2018,8.852560043,Blackout period,CASH,107636.9107,94661.92047
4/3/2018,9.04238224,Blackout period,CASH,107647.5667,96691.7213
4/4/2018,9.276578903,Blackout period,CASH,107658.2238,99196.02579
4/5/2018,9.426955223,Blackout period,CASH,107668.882,100804.0252
4/6/2018,8.972123146,Blackout period,CASH,107679.5412,95940.42893
